date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,60.9,49.6,72.1,1.45
,55.0,45.9,64.2,3.06
,51.4,39.3,63.6,2.48
,47.2,37.8,56.7,3.43
,42.7,36.0,49.4,5.20
,38.0,34.1,41.8,9.17
,40.4,36.3,44.5,9.29
,41.4,34.8,47.9,6.88
,55.0,47.6,62.4,4.85
,62.1,49.8,74.5,1.76
,65.1,51.6,78.6,0.73
,66.2,51.8,80.7,0.09
,61.5,49.2,73.7,0.49
,53.3,42.7,63.9,1.43
,47.3,39.5,55.1,6.31
,45.8,39.5,52.0,9.70
,41.7,33.5,49.8,3.65
,43.6,37.8,49.4,10.57
,41.1,36.0,46.3,12.27
,45.1,37.2,53.1,4.26
,51.0,40.4,61.5,0.74
,60.2,47.1,73.2,1.27
,64.1,50.5,77.8,0.32
,65.0,52.2,77.7,0.15
,59.8,48.2,71.4,1.58
,51.6,41.8,61.3,1.86
,48.2,38.6,57.7,3.53
,41.4,34.0,48.8,6.71
,41.5,33.9,49.2,5.27
,39.4,35.6,43.3,11.78
,39.5,34.8,44.3,11.89
,45.5,39.7,51.3,12.10
,50.4,42.0,59.0,4.27
,60.6,49.0,72.2,0.87
,64.6,52.7,76.5,1.31
,61.8,50.8,72.8,0.83
,56.4,45.8,66.9,2.41
,54.7,41.9,67.6,2.15
,46.1,37.2,55.0,3.48
,44.6,35.6,53.5,4.19
,39.6,30.8,48.4,2.83
,39.6,33.6,45.6,3.13
,38.8,33.3,44.3,4.99
,40.1,33.0,47.2,3.66
,51.0,42.4,59.7,4.09
,60.0,49.3,70.6,2.14
,62.6,50.0,75.2,0.26
,63.0,51.2,74.9,0.17
,59.8,48.1,71.6,2.31
,53.0,43.7,62.4,3.54
,50.2,39.5,60.9,2.67
,42.5,34.5,50.6,4.97
,41.5,35.0,48.1,6.02
,37.7,32.4,43.0,9.13
,41.3,35.8,46.7,9.48
,46.7,41.1,52.4,12.19
,51.4,40.7,62.1,3.69
,60.3,45.5,75.0,0.26
,64.8,54.2,75.3,0.89
,61.9,49.9,73.9,0.85
,56.4,47.4,65.4,2.10
,50.2,39.7,60.8,3.30
,46.6,35.7,57.4,2.17
,42.4,34.8,50.0,7.17
,40.4,35.2,45.5,16.94
,40.1,35.3,44.9,11.64
,37.8,32.9,42.7,13.57
,45.3,41.0,49.6,15.75
,51.2,42.2,60.1,4.40
,62.6,49.1,76.1,1.10
,65.3,51.5,79.1,0.04
,66.5,55.4,77.6,0.26
,59.2,49.1,69.2,1.60
,52.5,45.1,59.9,5.10
,48.4,37.8,58.9,1.91
,45.8,37.9,53.7,6.16
,43.6,37.4,49.9,7.74
,40.9,36.3,45.4,11.91
,38.7,33.1,44.2,6.18
,46.5,39.0,54.1,8.40
,50.6,43.2,57.9,8.98
,62.0,51.1,72.8,4.83
,66.6,53.9,79.2,1.84
,63.2,51.2,75.3,0.94
,57.8,47.6,68.0,2.86
,57.3,45.5,69.1,3.32
,47.4,37.8,56.9,4.83
,43.6,36.2,51.0,10.53
,41.3,33.7,48.9,4.92
,39.4,34.5,44.2,11.58
,39.5,34.8,44.2,19.18
,42.8,36.8,48.9,10.69
,50.0,41.8,58.3,7.53
,57.0,46.8,67.1,2.87
,64.7,51.4,78.1,0.56
,66.4,52.5,80.2,0.87
,58.0,46.6,69.3,1.59
,51.3,43.0,59.6,4.06
,49.7,41.3,58.0,8.51
,44.9,35.9,54.0,2.70
,39.2,31.1,47.4,14.21
,39.5,35.4,43.6,9.95
,40.0,35.1,44.9,11.45
,47.4,41.1,53.7,14.34
,50.9,42.7,59.2,5.95
,63.6,53.2,74.0,3.13
,61.8,49.8,73.8,1.19
,65.1,53.6,76.7,1.21
,59.0,48.1,69.8,2.24
,56.2,44.9,67.4,1.86
,47.3,37.6,57.0,4.84
,44.3,34.6,54.0,7.07
,44.2,36.5,51.8,5.24
,41.4,35.4,47.4,8.07
,39.4,34.8,44.1,12.74
,39.1,33.8,44.4,10.37
,49.3,39.0,59.6,7.97
,62.5,50.3,74.6,1.51
,63.9,51.3,76.4,0.36
,65.0,51.5,78.5,0.15
,57.3,46.6,67.9,2.33
,55.4,43.9,66.8,1.34
,50.1,41.1,59.0,2.63
,46.9,36.9,56.8,4.46
,37.9,31.4,44.5,7.64
,42.8,37.3,48.2,5.88
,38.7,33.2,44.1,9.36
,38.3,30.4,46.1,3.03
,54.0,44.2,63.8,2.19
,61.3,47.6,75.0,0.11
,64.0,52.8,75.2,0.38
,60.1,52.2,68.0,2.46
,58.2,49.2,67.2,3.23
,57.8,47.9,67.8,4.90
,48.2,40.7,55.8,7.62
,45.8,37.1,54.4,5.12
,37.8,28.4,47.2,0.73
,34.3,28.5,40.1,5.20
,37.4,32.8,41.9,8.43
,43.5,37.8,49.2,7.90
,52.8,43.3,62.3,2.62
,58.4,46.4,70.4,2.51
,65.1,51.2,79.0,0.63
,65.5,53.9,77.1,0.59
,61.9,49.4,74.4,1.15
,57.9,43.9,71.9,0.31
,51.3,41.9,60.6,6.17
,49.1,38.0,60.3,1.85
,46.5,38.1,54.9,5.64
,41.7,36.4,46.9,8.96
,40.1,35.6,44.6,6.35
,44.9,39.3,50.4,10.16
,51.8,39.7,63.8,2.41
,62.6,48.7,76.5,0.18
,64.5,52.7,76.4,1.17
,64.1,50.9,77.2,0.39
,55.7,46.6,64.7,1.91
,51.1,42.8,59.5,2.77
,47.1,38.1,56.2,8.74
,42.0,33.8,50.3,6.22
,46.4,37.7,54.9,5.72
,37.4,30.5,44.3,4.66
,32.0,26.4,37.5,5.17
,44.3,38.1,50.4,8.45
,49.3,41.0,57.5,8.01
,63.1,52.7,73.5,0.41
,65.5,53.6,77.4,1.42
,66.1,52.9,79.3,0.73
,58.6,48.9,68.3,2.44
,52.6,42.9,62.3,2.44
,51.1,41.5,60.6,3.44
,46.2,36.9,55.6,3.36
,38.3,31.8,44.8,9.06
,40.8,35.6,46.1,15.67
,40.1,34.3,45.8,4.45
,45.4,39.5,51.4,6.12
,51.6,42.5,60.7,3.27
,61.6,46.5,76.7,0.48
,62.7,51.9,73.4,1.70
,61.1,50.4,71.7,1.14
,60.2,48.7,71.6,1.31
,53.6,43.2,64.0,2.40
,51.2,40.0,62.5,2.38
,42.1,35.6,48.6,8.32
,33.0,25.5,40.5,3.87
,39.7,35.1,44.3,7.22
,39.0,33.2,44.8,5.28
,44.0,38.7,49.3,12.22
,55.6,47.7,63.5,0.85
,59.6,46.4,72.8,2.16
,63.2,50.3,76.1,0.56
,63.6,50.4,76.6,0.66
,57.3,46.5,68.2,2.32
,52.3,42.6,62.0,4.10
,48.9,39.8,58.0,3.97
,44.4,35.4,53.4,6.59
,42.8,35.1,50.5,3.33
,37.8,32.2,43.3,8.13
,37.0,32.2,41.8,11.34
,46.3,39.6,53.0,4.27
,54.9,40.8,69.0,0.26
,61.8,48.9,74.8,0.43
,64.8,51.3,78.4,0.31
,62.4,51.8,73.1,1.07
,60.2,47.4,73.0,0.43
,56.3,45.4,67.2,3.15
,50.5,39.6,61.3,2.39
,45.8,38.0,53.6,8.72
,43.4,36.4,50.5,5.64
,38.3,32.3,44.3,8.28
,39.1,32.9,45.2,6.08
,44.5,38.7,50.3,9.57
,53.5,42.7,64.3,3.62
,57.6,47.6,67.6,4.75
,67.1,53.2,81.0,0.17
,60.4,50.1,70.6,1.28
,61.3,49.2,73.3,0.71
,53.3,43.1,63.6,3.11
,46.7,36.8,56.5,3.45
,48.2,38.9,57.5,3.98
,41.9,35.4,48.4,8.32
,41.5,34.9,48.2,8.71
,33.4,25.7,41.0,3.07
,34.9,28.7,41.1,5.37
,49.3,39.9,58.7,6.11
,56.5,45.8,67.1,3.31
,63.1,49.4,76.8,1.41
,67.2,51.7,82.7,0.46
,58.8,47.0,70.6,2.80
,53.3,42.4,64.2,1.43
,49.1,39.3,58.9,2.71
,41.6,32.2,50.9,5.66
,37.6,30.6,44.5,4.98
,34.8,27.0,42.5,0.48
,35.1,29.9,40.3,6.52
,42.8,37.1,48.4,14.10
,48.9,42.0,55.8,6.27
,58.9,47.7,70.1,2.36
,62.9,49.0,76.8,0.35
,62.8,49.2,76.3,0.02
,56.0,45.6,66.4,4.33
,51.1,41.2,61.0,5.48
,45.8,37.3,54.2,5.26
,47.0,38.7,55.4,5.87
,42.6,35.3,49.8,7.22
,39.7,33.1,46.4,5.91
,33.4,28.7,38.1,6.69
,45.3,40.5,50.1,16.43
,50.3,40.3,60.3,1.60
,56.9,45.9,67.9,1.69
,63.7,52.5,74.8,1.63
,61.3,51.9,70.8,3.36
,57.0,48.1,66.0,3.36
,55.5,44.3,66.7,2.21
,48.3,36.9,59.8,3.25
,46.8,39.5,54.0,10.09
