date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,48.3,37.9,58.7,5.21
,43.0,35.7,50.4,7.27
,46.2,38.0,54.4,6.62
,43.5,36.2,50.8,12.30
,44.1,34.3,53.9,2.76
,56.5,46.0,67.0,1.42
,61.2,49.1,73.3,0.03
,63.1,52.2,74.1,1.07
,60.0,50.0,70.0,2.12
,57.8,48.2,67.4,2.87
,55.7,46.4,64.9,6.56
,49.0,41.4,56.6,11.91
,49.7,42.6,56.9,8.47
,43.0,34.4,51.6,6.78
,40.5,33.5,47.4,8.06
,41.2,35.2,47.1,16.53
,48.0,41.0,55.1,7.00
,56.1,45.3,67.0,3.90
,61.0,48.6,73.4,0.90
,65.0,52.1,77.8,0.22
,64.0,53.5,74.5,0.98
,60.3,50.1,70.6,1.66
,59.0,46.5,71.6,0.15
,52.9,43.6,62.2,8.77
,51.3,41.8,60.8,3.29
,50.2,41.5,58.8,5.32
,45.7,38.4,53.1,7.07
,44.1,36.9,51.3,6.56
,49.3,42.2,56.4,8.53
,56.4,43.3,69.5,3.64
,64.2,50.0,78.3,0.05
,63.5,53.1,73.8,0.79
,63.6,52.0,75.1,0.34
,55.1,45.6,64.6,0.65
,50.3,42.0,58.7,5.26
,47.2,39.1,55.2,5.85
,43.4,35.0,51.7,12.54
,50.6,42.3,58.9,4.60
,43.2,34.4,52.1,4.65
,36.8,29.4,44.2,5.30
,47.0,39.7,54.4,8.87
,52.6,42.1,63.0,8.90
,63.0,51.7,74.2,0.09
,64.3,53.7,74.8,2.43
,64.6,53.5,75.7,0.55
,57.6,48.3,66.8,2.11
,52.5,42.7,62.2,4.47
,51.5,42.5,60.4,3.11
,47.8,39.1,56.5,4.48
,42.3,34.4,50.0,9.80
,43.7,37.3,50.2,13.16
,45.4,36.5,54.3,2.43
,48.7,39.9,57.6,4.83
,53.8,43.1,64.4,6.46
,60.9,47.8,74.0,0.77
,62.6,52.4,72.6,1.99
,60.9,51.5,70.3,0.57
,58.9,48.5,69.2,1.26
,53.3,43.7,62.9,3.77
,53.2,42.5,63.9,2.96
,45.4,38.4,52.4,13.75
,38.2,30.0,46.5,4.93
,41.8,34.7,48.9,9.43
,42.6,35.2,50.1,8.26
,46.8,41.1,52.5,17.60
,58.1,48.9,67.2,0.44
,60.4,47.5,73.2,1.75
,61.8,49.5,74.1,0.02
,63.3,50.9,75.6,0.23
,57.0,47.0,67.0,3.08
,52.1,42.5,61.8,5.12
,49.9,40.8,59.0,4.61
,45.9,36.0,55.8,5.14
,46.5,37.4,55.7,1.96
,42.7,35.8,49.6,13.50
,41.0,35.1,47.0,20.66
,48.8,41.4,56.2,6.51
,57.4,45.3,69.6,0.29
,60.8,49.0,72.4,0.10
,63.6,51.2,76.0,0.26
,61.0,51.1,70.9,0.78
,59.0,47.6,70.4,0.22
,56.1,46.2,66.0,1.75
,51.5,40.3,62.6,2.20
,47.5,38.6,56.4,10.01
,45.1,36.8,53.5,9.35
,42.8,35.1,50.5,11.98
,44.5,36.8,52.2,4.50
,48.5,41.2,55.9,12.32
,55.4,46.4,64.5,3.39
,57.9,48.0,67.9,6.67
,64.2,53.0,75.4,0.03
,61.5,50.4,72.5,0.63
,60.3,49.8,70.8,0.82
,53.3,43.2,63.4,5.55
,47.9,38.6,57.1,4.86
,50.2,40.9,59.5,7.91
,46.9,40.5,53.2,18.00
,46.4,39.4,53.3,10.98
,43.2,35.3,51.0,5.18
,40.5,33.6,47.4,7.18
,52.1,41.4,62.9,6.62
,58.3,47.3,69.3,3.07
,62.0,49.6,74.3,0.31
,64.6,52.9,76.3,0.23
,59.0,47.8,70.2,3.93
,52.3,41.7,63.0,1.96
,50.2,40.9,59.6,2.36
,42.7,34.3,51.1,8.46
,42.2,33.5,51.0,6.66
,41.8,32.1,51.5,0.99
,40.6,33.8,47.4,6.45
,46.2,39.8,52.7,22.41
,52.2,44.0,60.5,8.70
,60.5,47.4,73.5,0.75
,62.9,50.8,75.0,0.17
,61.8,49.5,74.2,0.20
,56.1,46.2,65.9,3.74
,52.5,42.3,62.6,4.39
,47.1,38.9,55.4,6.87
,48.4,40.3,56.6,9.31
