date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,54.2,44.4,64.1,3.26
,47.5,38.1,56.8,8.67
,44.8,37.5,52.2,17.88
,49.1,41.2,57.0,5.16
,45.8,41.4,50.2,25.80
,41.6,35.5,47.8,13.62
,40.8,34.1,47.6,15.86
,53.5,42.9,64.0,3.69
,63.8,51.8,75.8,1.73
,64.4,50.6,78.3,0.01
,66.1,53.2,79.0,0.02
,57.5,46.3,68.7,1.88
,55.0,44.2,65.8,3.31
,49.5,40.2,58.8,4.73
,48.0,38.5,57.5,6.56
,42.7,36.0,49.3,9.20
,45.7,38.7,52.7,9.43
,43.2,36.5,50.0,15.80
,45.0,35.6,54.4,3.27
,57.0,46.9,67.1,1.63
,62.4,49.9,74.9,0.02
,63.8,52.0,75.6,1.31
,60.4,49.2,71.5,1.79
,57.8,47.4,68.2,2.66
,53.6,44.6,62.6,8.97
,47.1,39.7,54.5,15.70
,47.8,41.0,54.5,12.85
,41.8,34.2,49.3,9.46
,39.7,33.7,45.7,10.29
,40.0,34.7,45.4,18.66
,47.2,40.0,54.3,6.52
,56.9,46.4,67.4,5.57
,62.2,49.2,75.2,1.14
,67.2,52.9,81.6,0.08
,65.4,53.2,77.6,0.70
,60.9,49.7,72.2,2.76
,60.1,46.9,73.3,0.11
,51.6,42.6,60.7,9.91
,50.1,40.7,59.5,4.80
,48.6,40.9,56.4,8.87
,44.4,37.7,51.1,9.44
,43.5,36.5,50.5,7.28
,48.2,41.1,55.2,8.29
,57.6,45.7,69.6,2.93
,65.7,51.8,79.6,0.03
,64.0,52.5,75.5,1.26
,65.8,52.8,78.6,0.60
,55.7,44.6,66.8,0.42
,49.9,40.6,59.3,4.89
,46.1,37.4,54.8,5.66
,42.2,34.3,50.1,14.77
,49.6,41.6,57.6,5.13
,43.3,35.0,51.5,8.56
,36.3,29.0,43.5,5.39
,45.7,38.5,52.9,7.93
,52.3,42.5,62.2,8.92
,63.2,51.4,75.1,0.20
,65.0,53.6,76.4,2.99
,66.5,54.1,78.8,0.78
,57.5,46.8,68.2,1.91
,51.4,41.4,61.4,7.72
,51.3,41.7,60.9,2.38
,46.5,37.7,55.3,5.93
,41.2,33.7,48.8,10.65
,42.6,36.7,48.5,16.19
,45.9,37.7,54.2,3.59
,48.3,40.0,56.6,4.62
,53.8,43.4,64.1,8.44
,61.6,49.0,74.3,1.08
,63.3,51.5,75.1,0.95
,60.9,50.0,71.8,0.45
,59.3,47.7,70.9,1.33
,52.8,42.5,63.0,3.89
,52.3,41.9,62.6,5.26
,44.0,37.8,50.1,18.31
,38.1,30.0,46.1,5.62
,41.4,34.7,48.2,9.89
,42.3,35.7,48.9,9.97
,46.1,40.9,51.4,23.16
,58.4,48.3,68.5,0.69
,62.2,48.8,75.5,0.96
,64.6,51.1,78.2,0.01
,66.0,52.7,79.3,0.14
,57.4,46.4,68.4,3.35
,51.3,41.5,61.2,5.61
,49.0,39.6,58.4,5.45
,45.1,34.8,55.4,5.88
,46.8,37.5,56.1,1.65
,42.2,35.7,48.6,17.01
,40.6,34.8,46.3,26.00
,48.1,40.9,55.2,8.45
,60.1,48.1,72.1,0.21
,62.1,50.0,74.2,0.05
,66.7,53.2,80.2,0.06
,61.3,50.5,72.1,0.73
,61.0,49.3,72.7,0.29
,56.1,45.1,67.0,2.00
,51.9,40.2,63.5,2.44
,45.8,37.5,54.2,13.72
,44.8,37.0,52.6,10.09
,42.2,35.2,49.2,14.72
,44.7,38.1,51.3,7.36
,48.1,41.5,54.7,12.30
,56.1,46.6,65.5,4.76
,57.2,46.9,67.6,7.75
,66.7,53.9,79.6,0.01
,62.6,50.1,75.2,0.54
,61.7,49.9,73.5,0.92
,53.0,42.3,63.6,7.07
,47.5,37.7,57.2,4.68
,49.1,40.2,58.1,11.00
,46.0,40.2,51.7,24.41
,45.6,39.9,51.3,16.02
,45.0,38.0,52.0,6.67
,40.3,33.4,47.2,6.92
,52.5,42.6,62.4,7.48
,58.5,48.3,68.6,3.15
,63.4,50.8,76.0,0.12
,66.5,54.1,79.0,0.31
,60.4,48.6,72.1,4.71
,51.8,40.8,62.8,1.71
,50.3,40.5,60.1,2.07
,42.1,33.8,50.3,10.32
,42.6,34.4,50.8,7.50
,42.0,33.3,50.8,0.89
,40.4,34.0,46.8,7.05
,45.4,39.9,50.9,26.20
,52.1,44.4,59.9,9.99
,61.8,49.1,74.6,0.51
,65.1,52.2,77.9,0.07
,64.6,51.7,77.6,0.09
,56.6,46.0,67.2,3.45
,52.4,42.0,62.7,5.38
,46.1,37.6,54.7,6.85
,47.1,39.1,55.1,11.43
,44.1,37.3,50.9,14.96
,44.0,36.4,51.6,3.16
,43.0,38.7,47.4,21.83
,47.2,42.0,52.4,20.90
,55.4,46.2,64.5,3.22
,62.2,51.2,73.2,0.47
,65.1,53.7,76.5,3.43
,62.7,52.5,73.0,2.18
,57.9,47.2,68.5,1.77
,53.8,43.7,63.9,2.95
,46.8,37.2,56.4,5.93
,46.5,40.2,52.8,21.24
,45.8,40.4,51.2,23.55
,44.1,37.7,50.4,13.36
,43.0,37.2,48.9,21.74
,45.4,38.2,52.6,11.22
,55.0,46.1,64.0,9.97
,61.6,51.0,72.2,2.11
,64.2,52.1,76.2,0.14
,62.6,51.6,73.5,0.25
,58.5,48.5,68.5,2.30
,53.2,40.8,65.7,0.12
,45.4,35.4,55.4,14.21
