date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,30.7,24.4,37.0,1.65
,30.5,21.2,39.9,2.58
,49.2,37.9,60.5,2.06
,60.6,44.6,76.5,0.45
,65.9,52.0,79.8,1.66
,66.9,50.4,83.4,0.11
,58.7,43.5,73.9,1.11
,51.8,38.8,64.8,1.57
,41.8,31.3,52.4,1.98
,37.3,26.6,48.0,2.19
,29.3,23.0,35.5,3.75
,11.6,2.2,21.1,2.59
,18.9,10.6,27.1,2.74
,29.8,21.9,37.8,2.18
,47.2,32.0,62.4,0.06
,54.8,42.9,66.6,2.01
,62.8,48.1,77.6,0.82
,65.7,51.0,80.4,1.13
,57.3,43.0,71.6,1.05
,47.6,36.8,58.3,1.28
,42.1,33.0,51.2,5.69
,41.9,30.9,52.8,2.01
,34.3,28.4,40.1,2.82
,31.4,25.5,37.2,3.28
,32.2,27.2,37.2,4.94
,33.3,26.1,40.4,4.05
,46.5,35.0,58.0,0.81
,55.3,43.3,67.2,1.88
,66.9,52.3,81.5,1.17
,64.9,49.4,80.4,0.45
,62.4,47.9,76.8,0.92
,46.3,36.1,56.6,2.77
,46.6,31.1,62.0,0.20
,33.8,24.0,43.7,1.33
,33.3,22.1,44.5,1.09
,19.7,11.9,27.6,0.85
,26.8,15.9,37.7,0.28
,37.3,26.1,48.5,0.42
,46.4,32.5,60.2,0.43
,59.3,45.5,73.0,1.13
,61.0,49.2,73.0,2.55
,66.4,51.6,81.1,1.06
,54.4,40.9,67.9,1.01
,51.3,37.0,65.6,0.78
,41.0,29.8,52.1,2.20
,31.4,21.4,41.3,1.66
,27.9,19.4,36.4,1.95
,26.0,18.1,33.9,3.20
,28.5,21.9,35.0,2.32
,32.1,23.7,40.6,2.03
,45.3,37.2,53.5,2.84
,58.3,41.5,75.1,0.06
,61.9,48.2,75.6,1.18
,69.1,55.2,83.0,1.09
,55.5,43.0,68.1,2.11
,48.4,36.2,60.6,0.73
,36.9,28.5,45.2,2.30
,32.8,24.6,41.0,2.49
,27.4,19.6,35.3,3.47
,23.8,16.4,31.2,3.80
,26.8,20.0,33.6,4.12
,35.6,27.2,43.9,1.01
,46.2,32.5,60.0,0.49
,59.3,41.6,76.9,0.00
,64.5,48.4,80.5,0.23
,65.3,50.1,80.4,1.43
,63.0,47.2,78.7,0.50
,47.7,35.8,59.5,0.60
,41.8,31.7,52.0,1.30
,35.8,27.2,44.5,3.12
,32.4,24.8,40.0,1.60
,22.3,14.5,30.1,3.45
,31.4,25.7,37.0,5.81
,33.6,28.3,38.8,6.06
,45.4,33.9,56.9,1.22
,57.1,43.8,70.3,1.43
,65.2,49.1,81.3,0.31
,67.7,50.6,84.6,0.34
,58.3,43.9,72.7,0.30
,52.1,37.5,66.6,2.23
,42.5,30.6,54.4,0.73
,36.9,27.3,46.6,0.93
,32.9,25.0,40.9,0.91
,24.3,17.0,31.6,2.28
,20.3,14.0,26.6,3.69
,34.8,28.9,40.6,2.58
,46.4,34.0,58.6,0.60
,52.7,39.4,66.0,0.87
,67.3,51.5,83.0,0.61
,65.2,49.6,80.8,0.40
,59.0,45.4,72.5,2.16
,52.5,38.2,66.6,1.12
,39.5,28.8,50.1,0.82
,38.9,28.4,49.3,3.24
,29.0,21.0,37.1,1.78
,23.7,15.9,31.6,2.85
,23.1,16.1,30.1,4.35
,32.7,25.6,39.8,3.20
,42.9,31.3,54.4,1.06
,51.8,37.8,65.8,0.82
,70.1,53.1,87.0,0.39
,66.2,50.2,82.3,0.29
,54.9,42.8,67.1,2.61
,51.8,39.0,64.6,1.69
,41.5,29.9,53.2,1.26
,31.7,22.7,40.8,2.49
,32.0,23.4,40.7,0.91
,28.2,21.8,34.7,4.60
,24.2,17.2,31.2,3.31
,35.2,28.1,42.2,3.51
,42.2,30.6,53.8,2.02
,51.9,38.3,65.5,1.74
,67.2,48.8,85.6,0.01
,66.9,50.9,82.8,1.07
,60.6,47.8,73.4,1.84
,49.4,36.4,62.5,2.63
,37.0,26.9,47.1,0.54
,34.8,25.6,44.0,2.63
,35.0,25.1,44.8,1.40
,29.8,23.7,36.0,7.02
,30.7,24.3,37.2,4.38
,34.9,23.5,46.4,0.59
,41.6,30.8,52.4,1.15
,58.3,44.1,72.5,0.71
,64.8,47.0,82.7,0.00
,64.5,48.0,81.0,0.15
,58.6,46.0,71.2,3.44
,53.5,39.7,67.2,2.07
,43.7,31.3,56.1,1.90
,34.0,22.4,45.7,0.61
,27.1,20.3,33.9,2.29
,25.1,18.5,31.6,3.55
,26.9,20.8,33.1,3.41
,34.0,28.2,39.8,4.44
,43.9,32.5,55.2,1.78
,56.6,43.0,70.2,0.31
,61.4,49.4,73.4,2.74
,68.2,51.1,85.3,0.09
,58.7,44.7,72.7,0.95
,49.6,36.2,63.1,1.17
,39.7,27.6,51.7,0.59
,39.5,28.0,51.1,1.08
,35.4,27.2,43.6,3.29
,25.2,16.8,33.7,1.73
,24.3,17.0,31.6,2.21
,35.4,27.0,43.8,1.66
,45.0,33.9,56.2,2.54
,62.5,46.2,78.7,0.70
,69.8,51.7,87.8,0.12
,68.6,52.0,85.1,0.23
,58.3,45.2,71.4,1.72
,49.6,35.7,63.4,1.46
,37.7,28.5,46.9,1.79
,34.8,25.4,44.2,2.38
,32.9,23.3,42.5,0.62
,31.1,24.7,37.5,3.03
,29.1,24.0,34.2,4.23
,36.9,29.8,44.0,3.48
,45.0,32.2,57.9,0.91
,61.7,47.1,76.2,0.89
,65.6,49.3,81.9,0.23
,65.6,49.4,81.9,0.36
,56.0,42.5,69.5,1.32
,53.2,37.2,69.1,0.59
,43.4,30.0,56.9,0.63
,36.4,25.0,47.9,1.90
,28.1,19.3,36.9,2.45
,30.1,23.2,37.0,1.65
,26.7,18.6,34.8,0.74
,37.6,29.2,45.9,2.39
,49.1,34.1,64.2,0.21
,51.9,38.4,65.4,0.34
,63.4,50.3,76.4,2.83
,65.3,49.5,81.1,0.76
,57.0,43.9,70.1,1.89
,48.4,35.9,61.0,0.66
,44.7,33.8,55.5,2.10
,33.3,21.0,45.6,0.78
,31.6,23.0,40.1,0.78
,28.6,23.3,33.9,5.75
,27.3,20.8,33.8,7.08
,33.0,25.0,41.0,2.11
,48.1,33.4,62.8,0.41
,54.3,40.0,68.6,0.79
,62.1,47.0,77.1,0.64
,66.0,50.4,81.6,1.20
,55.6,44.1,67.1,3.65
,49.0,35.6,62.4,0.93
,40.2,28.5,51.8,1.45
,31.2,22.4,40.2,1.75
,23.5,13.1,33.8,0.70
,23.4,16.2,30.6,3.40
,25.0,18.6,31.4,2.27
,35.8,28.8,42.8,3.38
,49.8,37.6,62.0,0.56
,62.1,48.2,76.1,1.00
,65.8,50.5,81.0,0.61
,63.1,47.6,78.7,0.18
,56.4,44.5,68.3,1.68
,52.4,40.0,64.9,1.81
,39.4,29.9,48.9,2.40
,36.7,26.0,47.4,1.29
,39.0,29.6,48.3,2.49
,21.3,12.6,30.0,1.57
,30.4,24.4,36.5,2.08
,36.0,28.2,43.8,2.64
,46.1,35.5,56.6,3.26
,58.2,42.6,73.8,0.99
,62.8,47.9,77.7,0.39
,64.1,48.2,79.9,0.14
,57.4,42.6,72.3,0.31
,48.0,37.3,58.7,3.36
,45.9,31.5,60.3,1.41
,33.3,23.7,42.9,1.60
,27.1,20.8,33.3,2.32
,18.8,10.8,26.9,2.22
,25.9,19.5,32.3,2.45
,31.2,21.8,40.5,2.72
,44.0,33.3,54.8,1.56
,52.4,39.1,65.8,0.57
,70.6,54.6,86.5,0.65
,69.0,51.9,86.0,0.15
,64.0,47.2,80.8,0.70
,49.7,36.8,62.7,1.76
,41.9,30.1,53.8,0.49
,36.7,27.9,45.5,2.73
,36.1,30.0,42.2,2.60
,27.7,18.8,36.7,1.07
,26.3,17.8,34.8,1.44
,34.2,27.1,41.4,4.78
,45.8,33.6,58.0,0.75
,59.0,43.3,74.7,0.69
,61.4,46.2,76.6,1.06
,70.1,52.5,87.8,0.51
,58.7,42.5,74.8,0.13
,47.0,35.0,58.9,3.51
,42.6,31.0,54.2,1.23
,34.9,24.3,45.5,2.66
,26.6,18.5,34.6,2.72
,21.0,13.0,28.9,2.02
,26.3,16.9,35.7,1.32
,31.4,20.6,42.1,1.14
,45.0,34.9,55.0,1.54
,54.0,43.2,64.8,3.36
,62.6,46.4,78.7,0.74
,66.6,48.5,84.7,0.11
,59.4,44.6,74.2,0.42
,46.2,34.1,58.2,2.28
,43.8,30.6,57.0,0.77
,35.2,25.1,45.3,2.12
,31.6,24.3,38.9,1.90
,30.3,23.8,36.8,3.06
,33.0,26.3,39.8,2.64
,34.0,26.2,41.8,2.42
,48.3,33.3,63.3,0.55
,55.7,41.2,70.1,0.79
,68.0,51.5,84.6,0.66
,67.0,51.2,82.7,0.64
,59.4,47.2,71.6,3.16
,56.7,41.9,71.5,1.78
,40.9,31.6,50.1,2.58
,33.4,23.8,42.9,2.37
,35.8,28.9,42.7,3.67
,26.9,19.7,34.1,3.21
,29.9,23.8,36.0,4.23
