date,avg_temp_f,min_temp_f,max_temp_f,precipitation_in
,45.6,32.6,58.7,0.93
,55.7,39.1,72.2,0.66
,60.0,44.5,75.6,0.99
,63.0,45.5,80.6,0.23
,58.1,42.6,73.6,0.46
,47.8,35.0,60.5,1.26
,46.5,33.9,59.1,2.34
,37.1,28.3,46.0,2.96
,22.7,12.5,32.8,0.96
,28.0,18.9,37.1,2.00
,29.4,20.4,38.5,0.83
,34.7,27.9,41.6,3.34
,55.3,38.4,72.1,0.03
,56.2,38.1,74.2,0.21
,63.1,44.1,82.1,0.33
,65.1,47.0,83.2,0.02
,57.3,42.7,72.0,1.08
,48.5,34.0,62.9,1.14
,44.7,32.3,57.2,1.97
,37.5,25.0,50.0,0.79
,36.5,24.2,48.7,0.43
,27.3,19.3,35.3,1.80
,28.4,21.7,35.2,2.01
,36.3,26.8,45.8,0.81
,51.6,33.4,69.7,0.00
,59.3,40.4,78.2,0.01
,62.6,44.9,80.4,0.15
,60.3,46.0,74.6,2.91
,60.5,44.7,76.3,1.00
,52.4,38.5,66.4,1.21
,48.2,32.8,63.6,0.80
,38.2,28.4,47.9,1.58
,33.6,24.2,42.9,1.41
,26.8,16.9,36.7,1.69
,30.3,22.6,38.1,0.75
,37.4,29.0,45.8,1.54
,47.9,33.5,62.4,0.77
,50.1,37.8,62.4,2.23
,67.6,49.7,85.5,0.19
,59.2,43.0,75.5,0.48
,61.5,45.0,77.9,0.30
,50.3,36.7,63.9,1.12
,40.9,27.6,54.2,0.64
,42.0,30.1,53.8,1.24
,34.9,27.7,42.1,3.15
,33.6,25.8,41.5,1.66
,21.1,11.0,31.2,1.20
,24.1,14.8,33.5,1.57
,44.1,30.5,57.7,0.87
,49.5,36.8,62.1,1.12
,60.5,43.4,77.5,0.29
,68.2,50.1,86.2,0.45
,58.1,41.9,74.3,0.48
,49.6,35.2,64.0,1.37
,45.6,31.3,59.8,0.73
,33.7,22.1,45.4,0.89
,28.2,17.5,38.9,1.00
,24.1,16.0,32.2,0.38
,24.9,16.1,33.6,0.87
,34.5,27.9,41.0,4.18
,41.7,31.9,51.4,2.09
,53.4,38.4,68.4,0.58
,63.9,46.1,81.8,1.73
,64.8,46.9,82.7,0.35
,53.1,39.8,66.4,1.67
,47.6,34.9,60.2,0.90
,38.9,29.0,48.8,1.71
,38.7,29.2,48.1,2.65
,32.4,23.9,40.9,1.54
,27.9,19.3,36.5,0.61
,22.3,15.9,28.7,3.90
,36.8,30.8,42.7,3.18
,47.4,34.2,60.6,1.18
,53.3,37.5,69.0,0.38
,64.5,49.3,79.7,1.17
,59.9,45.6,74.1,1.58
,54.3,40.2,68.3,1.19
,50.4,36.4,64.3,2.46
,39.2,27.9,50.6,1.25
,39.0,31.6,46.3,2.83
,36.1,29.2,43.0,2.67
,34.3,26.8,41.8,1.56
,28.4,21.3,35.5,2.24
,32.0,23.1,40.8,0.99
,44.5,32.8,56.1,1.98
,53.4,39.9,66.8,2.12
,63.1,46.4,79.7,0.60
,61.9,47.3,76.6,1.11
,57.7,44.7,70.8,2.29
,47.6,33.4,61.8,1.07
,38.4,25.9,50.8,0.93
,35.5,26.0,45.0,1.11
,30.7,22.2,39.2,1.24
,25.5,16.5,34.6,1.51
,32.4,25.6,39.2,4.55
,37.5,28.6,46.5,3.23
,44.4,32.4,56.3,0.99
,56.9,40.6,73.0,1.01
,66.2,46.9,85.6,0.11
,61.4,43.6,79.2,0.25
,55.2,41.0,69.5,1.26
,48.1,36.0,60.3,2.23
,42.4,30.0,54.8,0.97
,37.9,26.9,48.9,1.72
,32.8,22.8,42.8,1.56
,32.9,25.7,40.0,1.33
,34.8,25.2,44.4,1.83
,37.5,28.9,46.2,1.32
,46.8,32.5,61.1,0.93
,56.9,40.9,72.9,1.00
,58.9,41.4,76.3,0.02
,63.9,47.5,80.3,0.27
,52.7,40.4,65.0,2.30
,49.2,36.8,61.5,1.64
,44.1,31.6,56.7,0.92
,35.8,26.3,45.3,1.07
,35.7,28.4,43.0,1.61
,27.8,19.3,36.2,2.49
,33.8,25.2,42.4,0.76
,32.4,23.9,40.9,2.36
,50.0,38.3,61.7,2.15
,59.6,42.5,76.8,0.26
,62.5,47.7,77.2,1.29
,64.2,46.6,81.7,0.02
,56.9,40.4,73.4,0.40
,50.4,35.9,64.8,1.56
,41.3,30.5,52.0,1.96
,38.6,27.3,50.0,1.69
,31.6,24.5,38.8,1.71
,16.1,6.0,26.2,2.37
,24.1,14.8,33.5,1.17
,29.6,18.4,40.8,1.65
,48.2,30.3,66.0,0.09
,53.2,40.0,66.4,1.00
,61.7,46.6,76.8,1.02
,63.7,48.1,79.3,0.78
,56.4,41.6,71.1,1.64
,45.7,33.0,58.4,1.03
,40.7,30.7,50.6,3.26
,41.6,29.8,53.4,1.55
,35.0,27.3,42.7,1.29
,32.2,26.0,38.3,2.14
,32.9,26.5,39.3,2.95
,34.4,25.5,43.2,2.54
,46.6,33.3,59.9,0.58
,53.2,40.3,66.2,1.47
,66.3,50.5,82.2,1.04
,62.6,45.8,79.4,0.36
,60.5,44.9,76.1,0.70
,43.8,33.4,54.2,3.55
,45.5,29.0,62.0,0.19
,34.2,23.6,44.9,0.69
,36.0,24.2,47.9,0.70
,24.9,14.0,35.9,0.49
